id	name	category	type	tier	element	asset	use	lore
weapon_sword_astral	星辉飞剑	weapons	weapon	灵阶	water	items/weapons/weapon_sword_astral.png	偏向身法与御剑流的中期武器。	据说取自坠入北冥的星铁残片，夜深时剑脊会浮出细微星纹。
weapon_sword_crimson	赤魄灵剑	weapons	weapon	地阶	fire	items/weapons/weapon_sword_crimson.png	高爆发近战武器，适合因果偏激与杀伐路线。	曾在宗门大战中折断半寸，后由炼器师以妖火重铸，故剑锋常带余温。
weapon_spear_storm	惊霆长枪	weapons	weapon	灵阶	metal	items/weapons/weapon_spear_storm.png	适合正面对决与破阵事件。	枪缨不是布，而是雷蚕丝炼成的导灵束，暴雨天尤为凶厉。
weapon_bow_windchase	逐风弓	weapons	weapon	灵阶	wood	items/weapons/weapon_bow_windchase.png	适合远程袭杀、猎妖与侦察类剧情。	弓臂取自百年风雷木，拉满时会发出如雁鸣般的轻响。
weapon_ringblade_frost	寒魄环刃	weapons	weapon	地阶	water	items/weapons/weapon_ringblade_frost.png	适合刺杀、伏击、断敌退路类战斗。	刃环内圈常结一层薄霜，出手无声，最适合近身夺命。
weapon_dagger_shadowfang	影牙短匕	weapons	weapon	灵阶	dark	items/weapons/weapon_dagger_shadowfang.png	适合偷袭、潜行、暗杀类剧情。	匕刃极短，却能在夜色里吃尽灵光，最适合一击定生死。
artifact_spirit_gourd	养灵葫芦	artifacts	artifact	地阶	wood	items/artifacts/artifact_spirit_gourd.png	可用于传承、收纳灵气、强化轮回记忆类事件。	可温养剑意与残魂，一些散修会把它当作最后的归宿。
artifact_jade_slip_ancient	古修玉简	artifacts	artifact	灵阶	earth	items/artifacts/artifact_jade_slip_ancient.png	可解锁功法、秘闻、身世线索。	玉简内封有残篇，不同灵根之人听见的第一句箴言各不相同。
artifact_bronze_mirror	镇魂铜镜	artifacts	artifact	地阶	water	items/artifacts/artifact_bronze_mirror.png	适合幻境、轮回、心魔相关剧情。	镜面不照今生容貌，只映出最重的一段旧因果。
artifact_seal_tower	镇狱小塔	artifacts	artifact	天阶	earth	items/artifacts/artifact_seal_tower.png	适合高危封印事件、护道与宗门剧情。	塔身每一层都刻着古篆封印，传闻可镇妖、镇魂、镇运。
artifact_sigil_disk	青冥阵盘	artifacts	artifact	地阶	metal	items/artifacts/artifact_sigil_disk.png	适合布阵、破阵、镇守洞府类剧情。	阵盘一旦展开，周边灵气会沿刻痕流转，显出肉眼可见的星线。
artifact_orb_tideheart	潮心灵珠	artifacts	artifact	地阶	water	items/artifacts/artifact_orb_tideheart.png	适合治愈、护体、灵海感应类剧情。	珠中似封着一缕潮汐，静置时也会缓缓映出水纹。
artifact_crimson_seal	赤霄印	artifacts	artifact	地阶	fire	items/artifacts/artifact_crimson_seal.png	适合镇压、破邪、宗门执法类剧情。	印底刻有灼痕古篆，祭出时常伴随炽热气浪，专克阴邪。
artifact_soul_banner	摄魂幡	artifacts	artifact	地阶	dark	items/artifacts/artifact_soul_banner.png	适合邪修、拘魂、死斗或禁术相关剧情。	幡面轻动时会传出极细的哭鸣，寻常修士不敢久视。
consumable_pill_bottle_emerald	翠灵丹瓶	consumables	consumable	凡阶	wood	items/consumables/consumable_pill_bottle_emerald.png	基础恢复型消耗品。	瓶中丹药多为回气与疗伤用途，是坊市中最常见也最容易被掺假的货物。
consumable_talisman_blinkstep	瞬影符	consumables	consumable	灵阶	wind	items/consumables/consumable_talisman_blinkstep.png	逃遁、追击、秘境位移类消耗品。	点燃后可借一缕遁风脱离险地，但若心神不稳，也可能一步踏进更深的局。
consumable_scroll_flameward	炎障卷轴	consumables	consumable	灵阶	fire	items/consumables/consumable_scroll_flameward.png	防御、护体、抵御火煞或守关类剧情。	撕开卷轴后可在身前结成一道赤焰壁障，但灵力不足时也可能反噬自身。
material_ling_stone	灵石	materials	material	凡阶	neutral	items/materials/material_ling_stone.png	交易、闭关、阵法与炼器通用材料。	最基础的修真硬通货，灵气越纯，切面越清透。
material_moon_grass	月华草	materials	material	灵阶	wood	items/materials/material_moon_grass.png	炼丹材料，亦可用于安神与心魔线。	只在月明而风止之夜舒展叶片，药性温和，最适合调和躁烈丹方。
material_blackiron_ore	玄铁矿	materials	material	灵阶	metal	items/materials/material_blackiron_ore.png	炼器、修补兵刃、打造护具。	矿脉往往埋在灵气枯竭之地深处，外黑内青，是重器最常见的胚料。
material_demon_core	妖丹	materials	material	灵阶	fire	items/materials/material_demon_core.png	炼丹、炼器、献祭或危险机缘类剧情。	多数出自高阶妖兽体内，色泽越艳，蕴藏的狂暴妖气越重。